ENSG00000111640	GAPDH
ENSG00000102144	PGK1
ENSG00000166710	B2M
ENSG00000169919	GUSB
ENSG00000165704	HPRT1
ENSG00000072274	TFRC
ENSG00000112592	TBP
ENSG00000075624	ACTB
ENSG00000156508	EEF1A1
ENSG00000108349	MLN51
ENSG00000131508	UbcH5B
ENSG00000196262	PPIA
ENSG00000073578	SDHA
ENSG00000256269	HMBS
ENSG00000089157	RPLP0
ENSG00000184009	ATCG1
ENSG00000143612	C1orf43
ENSG00000130724	CHMP2A
ENSG00000134153	EMC7
ENSG00000105220	GPI
ENSG00000126067	PSMB2
ENSG00000159377	PSMB4
ENSG00000075785	RAB7A
ENSG00000129625	REEP5
ENSG00000100028	SNRPD3
ENSG00000165280	VCP
ENSG00000111237	VPS29
