Metric	isotype	subsampled	Broad_Metric	Include_Metric
c_gini_Subsampled__all	all	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHA1	IGHA1	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHA2	IGHA2	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHD	IGHD	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHG1	IGHG1	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHG2	IGHG2	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHG3	IGHG3	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHM	IGHM	YES	c_gini_Subsampled	1
c_renyi_normalised_Subsampled__all	all	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHA1	IGHA1	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHA2	IGHA2	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHD	IGHD	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHG1	IGHG1	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHG2	IGHG2	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHG3	IGHG3	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHM	IGHM	YES	c_renyi_normalised_Subsampled	1
c_gini_Subsampled__IGHE	IGHE	YES	c_gini_Subsampled	1
c_gini_Subsampled__IGHG4	IGHG4	YES	c_gini_Subsampled	1
c_renyi_normalised_Subsampled__IGHE	IGHE	YES	c_renyi_normalised_Subsampled	1
c_renyi_normalised_Subsampled__IGHG4	IGHG4	YES	c_renyi_normalised_Subsampled	1
v_gini_Subsampled__IGHE	IGHE	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHG4	IGHG4	YES	v_gini_Subsampled	1
v_renyi_normalised_Subsampled__IGHE	IGHE	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHG4	IGHG4	YES	v_renyi_normalised_Subsampled	1
D5__all	all	NA	D5	1
D5__IGHA1	IGHA1	NA	D5	1
D5__IGHA2	IGHA2	NA	D5	1
D5__IGHD	IGHD	NA	D5	1
D5__IGHE	IGHE	NA	D5	1
D5__IGHG1	IGHG1	NA	D5	1
D5__IGHG2	IGHG2	NA	D5	1
D5__IGHG3	IGHG3	NA	D5	1
D5__IGHG4	IGHG4	NA	D5	1
D5__IGHM	IGHM	NA	D5	1
D50__all	all	NA	D50	1
D50__IGHA1	IGHA1	NA	D50	1
D50__IGHA2	IGHA2	NA	D50	1
D50__IGHD	IGHD	NA	D50	1
D50__IGHG1	IGHG1	NA	D50	1
D50__IGHG2	IGHG2	NA	D50	1
D50__IGHG3	IGHG3	NA	D50	1
D50__IGHM	IGHM	NA	D50	1
D50__IGHE	IGHE	NA	D50	1
D50__IGHG4	IGHG4	NA	D50	1
D10__all	all	NA	D10	1
D10__IGHA1	IGHA1	NA	D10	1
D10__IGHA2	IGHA2	NA	D10	1
D10__IGHD	IGHD	NA	D10	1
D10__IGHG1	IGHG1	NA	D10	1
D10__IGHG2	IGHG2	NA	D10	1
D10__IGHM	IGHM	NA	D10	1
D10__IGHG3	IGHG3	NA	D10	1
D10__IGHE	IGHE	NA	D10	1
D10__IGHEP2	IGHEP2	NA	D10	0
D10__IGHG4	IGHG4	NA	D10	1
D10__IGHGP	IGHGP	NA	D10	0
m_max_clust_size_Subsampled__all	all	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHA1	IGHA1	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHA2	IGHA2	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHD	IGHD	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHE	IGHE	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHG1	IGHG1	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHG2	IGHG2	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHG3	IGHG3	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHG4	IGHG4	YES	m_max_clust_size_Subsampled	1
m_max_clust_size_Subsampled__IGHM	IGHM	YES	m_max_clust_size_Subsampled	1
m_max_vertex_size_Subsampled__all	all	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHA1	IGHA1	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHA2	IGHA2	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHD	IGHD	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHE	IGHE	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHG1	IGHG1	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHG2	IGHG2	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHG3	IGHG3	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHG4	IGHG4	YES	m_max_vertex_size_Subsampled	1
m_max_vertex_size_Subsampled__IGHM	IGHM	YES	m_max_vertex_size_Subsampled	1
mean_CDR_FWR_ratio__IGHA1	IGHA1	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHA2	IGHA2	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHD	IGHD	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHD_IGHM_mutated	NA	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHG1	IGHG1	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHG2	IGHG2	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHG3	IGHG3	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHM	IGHM	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHE	IGHE	NA	mean_CDR_FWR_ratio	1
mean_CDR_FWR_ratio__IGHG4	IGHG4	NA	mean_CDR_FWR_ratio	1
Mean_CDR3_Lengths__IGHA1	IGHA1	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHA2	IGHA2	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHD	IGHD	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHG1	IGHG1	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHG2	IGHG2	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHG3	IGHG3	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHM	IGHM	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHE	IGHE	NA	Mean_CDR3_lengths	1
Mean_CDR3_Lengths__IGHG4	IGHG4	NA	Mean_CDR3_lengths	1
mean_mutations_per_VDJ__IGHA1	IGHA1	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHA2	IGHA2	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHD	IGHD	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHD_IGHM_mutated	NA	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHE	IGHE	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHG1	IGHG1	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHG2	IGHG2	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHG3	IGHG3	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHG4	IGHG4	NA	Mean_mutations_per_BCR	1
mean_mutations_per_VDJ__IGHM	IGHM	NA	Mean_mutations_per_BCR	1
Mean_SHM_per_VDJ__Class_switched	NA	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__expanded	NA	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHA1	IGHA1	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHA2	IGHA2	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHD	IGHD	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHG1	IGHG1	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHG2	IGHG2	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHG3	IGHG3	NA	Mean_SHM_per_BCR	1
Mean_SHM_per_VDJ__IGHM	IGHM	NA	Mean_SHM_per_BCR	1
