"SampleID"	"Barcode"	"BCR_Lane"	"Plate"	"Library"	"Position"	"PCRBarcode"
"GAUKRV021000_1"	"GAUKRV021000"	1	"1"	1	"A1"	"A"
"GAUKRV027000_1"	"GAUKRV027000"	1	"1"	1	"B1"	"B"
"UK01950074_1"	"UK01950074"	1	"1"	1	"C1"	"C"
"UK02870104_1"	"UK02870104"	1	"1"	1	"D1"	"D"
"UK02XX0332_1"	"UK02XX0332"	1	"1"	1	"E1"	"E"
"UK15140114_1"	"UK15140114"	1	"1"	1	"F1"	"F"
"UK15450122_1"	"UK15450122"	1	"1"	1	"G1"	"G"
"JR1795_1003_POSITIVE_P1"	"JR1795_1003_POSITIVE"	1	"1"	1	"H1"	"H"
"UK17680142_1"	"UK17680142"	1	"1"	2	"A5"	"A"
"UK17730209_1"	"UK17730209"	1	"1"	2	"B5"	"B"
"UK19550087_1"	"UK19550087"	1	"1"	2	"C5"	"C"
"UK19880083_1"	"UK19880083"	1	"1"	2	"D5"	"D"
"UK21920120_1"	"UK21920120"	1	"1"	2	"E5"	"E"
"UK30110056_1"	"UK30110056"	1	"1"	2	"F5"	"F"
"UK30590059_1"	"UK30590059"	1	"1"	2	"G5"	"G"
"UK30710084_1"	"UK30710084"	1	"1"	3	"A9"	"A"
"UK47330006_1"	"UK47330006"	1	"1"	3	"B9"	"B"
"UK47500001_1"	"UK47500001"	1	"1"	3	"C9"	"C"
"UK47950022_1"	"UK47950022"	1	"1"	3	"D9"	"D"
"UK51540002_1"	"UK51540002"	1	"1"	3	"E9"	"E"
"UK54930005_1"	"UK54930005"	1	"1"	3	"F9"	"F"
"UK59580028_1"	"UK59580028"	1	"1"	3	"G9"	"G"
"GAUKRV021000_3"	"GAUKRV021000"	1	"2"	4	"A1"	"A"
"GAUKRV027000_3"	"GAUKRV027000"	1	"2"	4	"B1"	"B"
"UK01950074_3"	"UK01950074"	1	"2"	4	"C1"	"C"
"UK02870104_3"	"UK02870104"	1	"2"	4	"D1"	"D"
"UK02XX0332_3"	"UK02XX0332"	1	"2"	4	"E1"	"E"
"UK15140114_3"	"UK15140114"	1	"2"	4	"F1"	"F"
"UK15450122_3"	"UK15450122"	1	"2"	4	"G1"	"G"
"JR1795_1003_POSITIVE_P2"	"JR1795_1003_POSITIVE"	1	"2"	4	"H1"	"H"
"UK17680142_3"	"UK17680142"	1	"2"	5	"A5"	"A"
"UK17730209_3"	"UK17730209"	1	"2"	5	"B5"	"B"
"UK19550087_3"	"UK19550087"	1	"2"	5	"C5"	"C"
"UK19880083_3"	"UK19880083"	1	"2"	5	"D5"	"D"
"UK21920120_3"	"UK21920120"	1	"2"	5	"E5"	"E"
"UK30110056_3"	"UK30110056"	1	"2"	5	"F5"	"F"
"UK30590059_3"	"UK30590059"	1	"2"	5	"G5"	"G"
"UK30710084_3"	"UK30710084"	1	"2"	6	"A9"	"A"
"UK47330006_3"	"UK47330006"	1	"2"	6	"B9"	"B"
"UK47500001_3"	"UK47500001"	1	"2"	6	"C9"	"C"
"UK47950022_3"	"UK47950022"	1	"2"	6	"D9"	"D"
"UK51540002_3"	"UK51540002"	1	"2"	6	"E9"	"E"
"UK54930005_3"	"UK54930005"	1	"2"	6	"F9"	"F"
"UK59580028_3"	"UK59580028"	1	"2"	6	"G9"	"G"
"GAUKRV021000_5"	"GAUKRV021000"	1	"3"	7	"A1"	"A"
"GAUKRV027000_5"	"GAUKRV027000"	1	"3"	7	"B1"	"B"
"UK01950074_5"	"UK01950074"	1	"3"	7	"C1"	"C"
"UK02870104_5"	"UK02870104"	1	"3"	7	"D1"	"D"
"UK02XX0332_5"	"UK02XX0332"	1	"3"	7	"E1"	"E"
"UK15140114_5"	"UK15140114"	1	"3"	7	"F1"	"F"
"UK15450122_5"	"UK15450122"	1	"3"	7	"G1"	"G"
"JR1795_1003_POSITIVE_P3"	"JR1795_1003_POSITIVE"	1	"3"	7	"H1"	"H"
"UK17680142_5"	"UK17680142"	1	"3"	8	"A5"	"A"
"UK17730209_5"	"UK17730209"	1	"3"	8	"B5"	"B"
"UK19550087_5"	"UK19550087"	1	"3"	8	"C5"	"C"
"UK19880083_5"	"UK19880083"	1	"3"	8	"D5"	"D"
"UK21920120_5"	"UK21920120"	1	"3"	8	"E5"	"E"
"UK30110056_5"	"UK30110056"	1	"3"	8	"F5"	"F"
"UK30590059_5"	"UK30590059"	1	"3"	8	"G5"	"G"
"UK30710084_5"	"UK30710084"	1	"3"	9	"A9"	"A"
"UK47330006_5"	"UK47330006"	1	"3"	9	"B9"	"B"
"UK47500001_5"	"UK47500001"	1	"3"	9	"C9"	"C"
"UK47950022_5"	"UK47950022"	1	"3"	9	"D9"	"D"
"UK51540002_5"	"UK51540002"	1	"3"	9	"E9"	"E"
"UK54930005_5"	"UK54930005"	1	"3"	9	"F9"	"F"
"UK59580028_5"	"UK59580028"	1	"3"	9	"G9"	"G"
"GAUKRV025000_1"	"GAUKRV025000"	1	"4"	10	"A1"	"A"
"UK01310070_1"	"UK01310070"	1	"4"	10	"B1"	"B"
"UK02640145_1"	"UK02640145"	1	"4"	10	"C1"	"C"
"UK02870201_1"	"UK02870201"	1	"4"	10	"D1"	"D"
"UK09320114_1"	"UK09320114"	1	"4"	10	"E1"	"E"
"UK15290121_1"	"UK15290121"	1	"4"	10	"F1"	"F"
"UK17670148_1"	"UK17670148"	1	"4"	10	"G1"	"G"
"JR1795_1003_POSITIVE_P4"	"JR1795_1003_POSITIVE"	1	"4"	10	"H1"	"H"
"UK17720215_1"	"UK17720215"	1	"4"	11	"A5"	"A"
"UK19080078_1"	"UK19080078"	1	"4"	11	"B5"	"B"
"UK19720082_1"	"UK19720082"	1	"4"	11	"C5"	"C"
"UK19890077_1"	"UK19890077"	1	"4"	11	"D5"	"D"
"UK29010037_1"	"UK29010037"	1	"4"	11	"E5"	"E"
"UK30230081_1"	"UK30230081"	1	"4"	11	"F5"	"F"
"UK30690096_1"	"UK30690096"	1	"4"	11	"G5"	"G"
"UK30720078_1"	"UK30720078"	2	"4"	12	"A9"	"A"
"UK47430043_1"	"UK47430043"	2	"4"	12	"B9"	"B"
"UK47560062_1"	"UK47560062"	2	"4"	12	"C9"	"C"
"UK48130011_1"	"UK48130011"	2	"4"	12	"D9"	"D"
"UK54520057_1"	"UK54520057"	2	"4"	12	"E9"	"E"
"UK55580003_1"	"UK55580003"	2	"4"	12	"F9"	"F"
"UKJR010000_1"	"UKJR010000"	2	"4"	12	"G9"	"G"
"GAUKRV025000_3"	"GAUKRV025000"	2	"5"	13	"A1"	"A"
"UK01310070_3"	"UK01310070"	2	"5"	13	"B1"	"B"
"UK02640145_3"	"UK02640145"	2	"5"	13	"C1"	"C"
"UK02870201_3"	"UK02870201"	2	"5"	13	"D1"	"D"
"UK09320114_3"	"UK09320114"	2	"5"	13	"E1"	"E"
"UK15290121_3"	"UK15290121"	2	"5"	13	"F1"	"F"
"UK17670148_3"	"UK17670148"	2	"5"	13	"G1"	"G"
"JR1795_1003_POSITIVE_P5"	"JR1795_1003_POSITIVE"	2	"5"	13	"H1"	"H"
"UK17720215_3"	"UK17720215"	2	"5"	14	"A5"	"A"
"UK19080078_3"	"UK19080078"	2	"5"	14	"B5"	"B"
"UK19720082_3"	"UK19720082"	2	"5"	14	"C5"	"C"
"UK19890077_3"	"UK19890077"	2	"5"	14	"D5"	"D"
"UK29010037_3"	"UK29010037"	2	"5"	14	"E5"	"E"
"UK30230081_3"	"UK30230081"	2	"5"	14	"F5"	"F"
"UK30690096_3"	"UK30690096"	2	"5"	14	"G5"	"G"
"UK30720078_3"	"UK30720078"	2	"5"	15	"A9"	"A"
"UK47430043_3"	"UK47430043"	2	"5"	15	"B9"	"B"
"UK47560062_3"	"UK47560062"	2	"5"	15	"C9"	"C"
"UK48130011_3"	"UK48130011"	2	"5"	15	"D9"	"D"
"UK54520057_3"	"UK54520057"	2	"5"	15	"E9"	"E"
"UK55580003_3"	"UK55580003"	2	"5"	15	"F9"	"F"
