#seq1	seq2	N_differences	%_differences
IGHV4-4	IGHV3-19	60	61
IGHV4-4	IGHV3-15	71	71
IGHV4-4	IGHV1-3	65	66
IGHV4-4	IGHV1-18	65	66
IGHV4-4	IGHV3-11	56	57
IGHV4-4	IGHV3-13	58	59
IGHV4-4	IGHV3-33-2	66	67
IGHV4-4	IGHV3-H	58	59
IGHV4-4	IGHV3-7	57	58
IGHV4-4	IGHV3-9	58	58
IGHV4-4	IGHV3-30-3	56	57
IGHV4-4	IGHV1-24	66	67
IGHV4-4	IGHV3-16	59	60
IGHV4-4	IGHV1-NL1	72	73
IGHV4-4	IGHV4-30-4	38	38
IGHV4-4	IGHV2-70	64	64
IGHV4-4	IGHV3-D	68	69
IGHV4-4	IGHV2-70D	64	64
IGHV4-4	IGHV3-62	67	68
IGHV4-4	IGHV3-64	54	55
IGHV4-4	IGHV3-66	51	52
IGHV4-4	IGHV7-4-1	67	68
IGHV4-4	IGHV5-78	67	68
IGHV4-4	IGHV4-B	12	12
IGHV4-4	IGHV7-81	70	71
IGHV4-4	IGHV3/OR15-7	70	70
IGHV4-4	IGHV3/OR16-9	55	56
IGHV4-4	IGHV3/OR16-8	57	58
IGHV4-4	IGHV3-73	68	68
IGHV4-4	IGHV3-72	69	69
IGHV4-4	IGHV3-71	77	77
IGHV4-4	IGHV3/OR16-6	70	70
IGHV4-4	IGHV3-74	55	56
IGHV4-4	IGHV1-8	67	68
IGHV4-4	IGHV1-38-4	69	70
IGHV4-4	IGHV1-2	67	68
IGHV4-4	IGHV4-39	37	37
IGHV4-4	IGHV4-34	34	34
IGHV4-4	IGHV4-38-2	12	12
IGHV4-4	IGHV4-31	40	40
IGHV4-4	IGHV4/OR15-8	5	5
IGHV4-4	IGHV3-48	56	57
IGHV4-4	IGHV3-49	70	70
IGHV4-4	IGHV3-47	60	61
IGHV4-4	IGHV1-C	69	70
IGHV4-4	IGHV3-43	60	60
IGHV4-4	IGHV1-69-2	66	67
IGHV4-4	IGHV3-NL1	55	56
IGHV4-4	IGHV4-28	12	12
IGHV4-4	IGHV1/OR21-1	66	67
IGHV4-4	IGHV6-1	65	64
IGHV4-4	IGHV3-53	51	52
IGHV4-4	IGHV3-52	64	65
IGHV4-4	IGHV3-54	72	73
IGHV4-4	IGHV1-F	66	67
IGHV4-4	IGHV2-5	64	64
IGHV4-4	IGHV4-55	37	37
IGHV4-4	IGHV1-45	68	69
IGHV4-4	IGHV1-46	65	66
IGHV4-4	IGHV4-59	34	34
IGHV4-4	IGHV3-25	67	68
IGHV4-4	IGHV3-20	57	58
IGHV4-4	IGHV3-21	55	56
IGHV4-4	IGHV3-22	78	78
IGHV4-4	IGHV3-23	54	55
IGHV4-4	IGHV5-A	61	62
IGHV4-4	IGHV7-34-1	72	73
IGHV4-4	IGHV1-58	64	65
IGHV4-4	IGHV5-51	62	63
IGHV4-4	IGHV3-69-1	58	59
IGHV4-4	IGHV3/OR16-10	57	58
IGHV4-4	IGHV3/OR16-13	58	59
IGHV4-4	IGHV3/OR16-12	57	58
IGHV4-4	IGHV3-35	57	58
IGHV4-4	IGHV3-33	56	57
IGHV4-4	IGHV3-30	56	57
IGHV4-4	IGHV2-26	65	65
IGHV4-4	IGHV3-38	69	69
IGHV4-4	IGHV5-10-1	61	62
IGHV4-4	IGHV3-64D	55	56
IGHV4-4	IGHV1-68	68	69
IGHV4-4	IGHV1-69	61	62
IGHV4-4	IGHV3-38-3	68	69
IGHV4-4	IGHV1/OR15-1	66	67
IGHV4-4	IGHV1/OR15-5	61	62
IGHV4-4	IGHV1/OR15-9	67	68
IGHV4-4	IGHV2-10	66	67
IGHV4-4	IGHV4-61	36	36
IGHV4-4	IGHV2/OR16-5	67	67
IGHV4-4	IGHV3-43D	59	59
IGHV4-4	IGHV4-30-2	37	37
IGHV3-19	IGHV3-15	55	55
IGHV3-19	IGHV1-3	51	52
IGHV3-19	IGHV1-18	52	53
IGHV3-19	IGHV3-11	22	22
IGHV3-19	IGHV3-13	50	51
IGHV3-19	IGHV3-33-2	67	68
IGHV3-19	IGHV3-H	49	50
IGHV3-19	IGHV3-7	24	24
IGHV3-19	IGHV3-9	24	24
IGHV3-19	IGHV3-30-3	23	23
IGHV3-19	IGHV1-24	52	53
IGHV3-19	IGHV3-16	12	12
IGHV3-19	IGHV1-NL1	71	72
IGHV3-19	IGHV4-30-4	78	78
IGHV3-19	IGHV2-70	82	82
IGHV3-19	IGHV3-D	54	55
IGHV3-19	IGHV2-70D	82	82
IGHV3-19	IGHV3-62	56	57
IGHV3-19	IGHV3-64	21	21
IGHV3-19	IGHV3-66	50	51
IGHV3-19	IGHV7-4-1	47	47
IGHV3-19	IGHV5-78	54	55
IGHV3-19	IGHV4-B	61	62
IGHV3-19	IGHV7-81	51	52
IGHV3-19	IGHV3/OR15-7	58	58
IGHV3-19	IGHV3/OR16-9	20	20
IGHV3-19	IGHV3/OR16-8	22	22
IGHV3-19	IGHV3-73	56	56
IGHV3-19	IGHV3-72	56	56
IGHV3-19	IGHV3-71	55	55
IGHV3-19	IGHV3/OR16-6	60	60
IGHV3-19	IGHV3-74	22	22
IGHV3-19	IGHV1-8	50	51
IGHV3-19	IGHV1-38-4	57	58
IGHV3-19	IGHV1-2	52	53
IGHV3-19	IGHV4-39	77	77
IGHV3-19	IGHV4-34	68	69
IGHV3-19	IGHV4-38-2	61	62
IGHV3-19	IGHV4-31	78	78
IGHV3-19	IGHV4/OR15-8	62	63
IGHV3-19	IGHV3-48	21	21
IGHV3-19	IGHV3-49	60	60
IGHV3-19	IGHV3-47	56	57
IGHV3-19	IGHV1-C	57	58
IGHV3-19	IGHV3-43	24	24
IGHV3-19	IGHV1-69-2	52	53
IGHV3-19	IGHV3-NL1	22	22
IGHV3-19	IGHV4-28	61	62
IGHV3-19	IGHV1/OR21-1	54	55
IGHV3-19	IGHV6-1	73	72
IGHV3-19	IGHV3-53	51	52
IGHV3-19	IGHV3-52	32	32
IGHV3-19	IGHV3-54	63	64
IGHV3-19	IGHV1-F	52	53
IGHV3-19	IGHV2-5	80	80
IGHV3-19	IGHV4-55	65	66
IGHV3-19	IGHV1-45	55	56
IGHV3-19	IGHV1-46	49	50
IGHV3-19	IGHV4-59	66	67
IGHV3-19	IGHV3-25	59	60
IGHV3-19	IGHV3-20	23	23
IGHV3-19	IGHV3-21	21	21
IGHV3-19	IGHV3-22	58	58
IGHV3-19	IGHV3-23	22	22
IGHV3-19	IGHV5-A	52	53
IGHV3-19	IGHV7-34-1	72	73
IGHV3-19	IGHV1-58	53	54
IGHV3-19	IGHV5-51	53	54
IGHV3-19	IGHV3-69-1	49	50
IGHV3-19	IGHV3/OR16-10	52	53
IGHV3-19	IGHV3/OR16-13	23	23
IGHV3-19	IGHV3/OR16-12	30	30
IGHV3-19	IGHV3-35	8	8
IGHV3-19	IGHV3-33	24	24
IGHV3-19	IGHV3-30	23	23
IGHV3-19	IGHV2-26	83	83
IGHV3-19	IGHV3-38	55	56
IGHV3-19	IGHV5-10-1	52	53
IGHV3-19	IGHV3-64D	22	22
IGHV3-19	IGHV1-68	56	57
IGHV3-19	IGHV1-69	50	51
IGHV3-19	IGHV3-38-3	54	55
IGHV3-19	IGHV1/OR15-1	53	54
IGHV3-19	IGHV1/OR15-5	47	47
IGHV3-19	IGHV1/OR15-9	51	52
IGHV3-19	IGHV2-10	75	76
IGHV3-19	IGHV4-61	74	74
IGHV3-19	IGHV2/OR16-5	80	80
IGHV3-19	IGHV3-43D	24	24
IGHV3-19	IGHV4-30-2	77	77
IGHV3-15	IGHV1-3	65	65
IGHV3-15	IGHV1-18	64	64
IGHV3-15	IGHV3-11	52	52
IGHV3-15	IGHV3-13	51	51
IGHV3-15	IGHV3-33-2	67	67
IGHV3-15	IGHV3-H	48	48
IGHV3-15	IGHV3-7	50	50
IGHV3-15	IGHV3-9	56	56
IGHV3-15	IGHV3-30-3	56	56
IGHV3-15	IGHV1-24	67	67
IGHV3-15	IGHV3-16	55	55
IGHV3-15	IGHV1-NL1	76	76
IGHV3-15	IGHV4-30-4	76	76
IGHV3-15	IGHV2-70	79	79
IGHV3-15	IGHV3-D	53	53
IGHV3-15	IGHV2-70D	79	79
IGHV3-15	IGHV3-62	54	54
IGHV3-15	IGHV3-64	53	53
IGHV3-15	IGHV3-66	50	50
IGHV3-15	IGHV7-4-1	61	61
IGHV3-15	IGHV5-78	68	68
IGHV3-15	IGHV4-B	69	69
IGHV3-15	IGHV7-81	66	66
IGHV3-15	IGHV3/OR15-7	23	23
IGHV3-15	IGHV3/OR16-9	52	52
IGHV3-15	IGHV3/OR16-8	51	51
IGHV3-15	IGHV3-73	17	17
IGHV3-15	IGHV3-72	17	17
IGHV3-15	IGHV3-71	45	45
IGHV3-15	IGHV3/OR16-6	10	10
IGHV3-15	IGHV3-74	51	51
IGHV3-15	IGHV1-8	67	67
IGHV3-15	IGHV1-38-4	70	70
IGHV3-15	IGHV1-2	62	62
IGHV3-15	IGHV4-39	75	75
IGHV3-15	IGHV4-34	68	68
IGHV3-15	IGHV4-38-2	69	69
IGHV3-15	IGHV4-31	77	77
IGHV3-15	IGHV4/OR15-8	70	70
IGHV3-15	IGHV3-48	52	52
IGHV3-15	IGHV3-49	20	20
IGHV3-15	IGHV3-47	55	55
IGHV3-15	IGHV1-C	70	70
IGHV3-15	IGHV3-43	57	57
IGHV3-15	IGHV1-69-2	67	67
IGHV3-15	IGHV3-NL1	54	54
